GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADQ001
"G0101190","1850","Alabama","010","Sumter","1190","Sumter",22250
"G0101210","1850","Alabama","010","Talladega","1210","Talladega",18624
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa",15584
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa",18056
"G0101270","1850","Alabama","010","Walker","1270","Walker",5124
"G0101290","1850","Alabama","010","Washington","1290","Washington",2713
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox",17352
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas",3245
"G0500030","1850","Arkansas","050","Ashley","0030","Ashley",2058
"G0500070","1850","Arkansas","050","Benton","0070","Benton",3710
"G0500110","1850","Arkansas","050","Bradley","0110","Bradley",3829
"G0500150","1850","Arkansas","050","Carroll","0150","Carroll",4614
"G0500170","1850","Arkansas","050","Chicot","0170","Chicot",5115
"G0500190","1850","Arkansas","050","Clark","0190","Clark",4070
"G0500290","1850","Arkansas","050","Conway","0290","Conway",3583
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford",7960
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden",2648
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas",6877
"G0500410","1850","Arkansas","050","Desha","0410","Desha",2911
"G0500430","1850","Arkansas","050","Drew","0430","Drew",3276
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin",3972
"G0500490","1850","Arkansas","050","Fulton","0490","Fulton",1819
"G0500550","1850","Arkansas","050","Greene","0550","Greene",2593
"G0500570","1850","Arkansas","050","Hempstead","0570","Hempstead",7672
"G0500590","1850","Arkansas","050","Hot Spring","0590","Hot Spring",3609
"G0500630","1850","Arkansas","050","Independence","0630","Independence",7767
"G0500650","1850","Arkansas","050","Izard","0650","Izard",3213
"G0500670","1850","Arkansas","050","Jackson","0670","Jackson",3086
"G0500690","1850","Arkansas","050","Jefferson","0690","Jefferson",5834
"G0500710","1850","Arkansas","050","Johnson","0710","Johnson",5227
"G0500730","1850","Arkansas","050","Lafayette","0730","Lafayette",5220
"G0500750","1850","Arkansas","050","Lawrence","0750","Lawrence",5274
"G0500870","1850","Arkansas","050","Madison","0870","Madison",4823
"G0500890","1850","Arkansas","050","Marion","0890","Marion",2308
"G0500930","1850","Arkansas","050","Mississippi","0930","Mississippi",2368
"G0500950","1850","Arkansas","050","Monroe","0950","Monroe",2049
"G0500970","1850","Arkansas","050","Montgomery","0970","Montgomery",1958
"G0501010","1850","Arkansas","050","Newton","1010","Newton",1758
"G0501030","1850","Arkansas","050","Ouachita","1030","Ouachita",9591
"G0501050","1850","Arkansas","050","Perry","1050","Perry",978
"G0501070","1850","Arkansas","050","Phillips","1070","Phillips",6935
"G0501090","1850","Arkansas","050","Pike","1090","Pike",1861
"G0501110","1850","Arkansas","050","Poinsett","1110","Poinsett",2308
"G0501130","1850","Arkansas","050","Polk","1130","Polk",1263
"G0501150","1850","Arkansas","050","Pope","1150","Pope",4710
"G0501170","1850","Arkansas","050","Prairie","1170","Prairie",2097
"G0501190","1850","Arkansas","050","Pulaski","1190","Pulaski",5657
"G0501210","1850","Arkansas","050","Randolph","1210","Randolph",3275
"G0501230","1850","Arkansas","050","St Francis","1230","St Francis",4479
"G0501250","1850","Arkansas","050","Saline","1250","Saline",3903
"G0501270","1850","Arkansas","050","Scott","1270","Scott",3083
"G0501290","1850","Arkansas","050","Searcy","1290","Searcy",1979
"G0501330","1850","Arkansas","050","Sevier","1330","Sevier",4240
"G0501390","1850","Arkansas","050","Union","1390","Union",10298
"G0501410","1850","Arkansas","050","Van Buren","1410","Van Buren",2864
"G0501430","1850","Arkansas","050","Washington","1430","Washington",9970
"G0501450","1850","Arkansas","050","White","1450","White",2619
"G0501490","1850","Arkansas","050","Yell","1490","Yell",3341
"G0600070","1850","California","060","Butte","0070","Butte",3574
"G0600090","1850","California","060","Calaveras","0090","Calaveras",16884
"G0600110","1850","California","060","Colusa","0110","Colusa",115
"G0600115","1850","California","060","Colusa-Shasta-Trinity [multi-county reporting area]","0115","Colusa-Shasta-Trinity (multi-county reporting area)",
"G0600130","1850","California","060","Contra Costa","0130","Contra Costa",
"G0600170","1850","California","060","El Dorado","0170","El Dorado",20057
"G0600370","1850","California","060","Los Angeles","0370","Los Angeles",3530
"G0600410","1850","California","060","Marin","0410","Marin",323
"G0600430","1850","California","060","Mariposa","0430","Mariposa",4379
"G0600450","1850","California","060","Mendocino","0450","Mendocino",55
"G0600530","1850","California","060","Monterey","0530","Monterey",1872
"G0600550","1850","California","060","Napa","0550","Napa",405
"G0600670","1850","California","060","Sacramento","0670","Sacramento",9087
"G0600730","1850","California","060","San Diego","0730","San Diego",798
"G0600750","1850","California","060","San Francisco","0750","San Francisco",
"G0600770","1850","California","060","San Joaquin","0770","San Joaquin",3647
"G0600790","1850","California","060","San Luis Obispo","0790","San Luis Obispo",336
"G0600830","1850","California","060","Santa Barbara","0830","Santa Barbara",1185
"G0600850","1850","California","060","Santa Clara","0850","Santa Clara",
"G0600870","1850","California","060","Santa Cruz","0870","Santa Cruz",643
"G0600890","1850","California","060","Shasta","0890","Shasta",378
"G0600950","1850","California","060","Solano","0950","Solano",580
"G0600970","1850","California","060","Sonoma","0970","Sonoma",560
"G0601010","1850","California","060","Sutter","1010","Sutter",3444
"G0601050","1850","California","060","Trinity","1050","Trinity",1635
"G0601090","1850","California","060","Tuolumne","1090","Tuolumne",8351
"G0601130","1850","California","060","Yolo","1130","Yolo",1086
"G0601150","1850","California","060","Yuba","1150","Yuba",9673
"G0900010","1850","Connecticut","090","Fairfield","0010","Fairfield",59775
"G0900030","1850","Connecticut","090","Hartford","0030","Hartford",69967
"G0900050","1850","Connecticut","090","Litchfield","0050","Litchfield",45253
"G0900070","1850","Connecticut","090","Middlesex","0070","Middlesex",27216
"G0900090","1850","Connecticut","090","New Haven","0090","New Haven",65588
"G0900110","1850","Connecticut","090","New London","0110","New London",51821
"G0900130","1850","Connecticut","090","Tolland","0130","Tolland",20091
"G0900150","1850","Connecticut","090","Windham","0150","Windham",31081
"G1000010","1850","Delaware","100","Kent","0010","Kent",22816
"G1000030","1850","Delaware","100","New Castle","0030","New Castle",42780
"G1000050","1850","Delaware","100","Sussex","0050","Sussex",25936
"G1100017","1850","District Of Columbia","110","Georgetown","0017","Georgetown",8366
"G1100075","1850","District Of Columbia","110","Rural Washington county","0075","Rural Washington county",3320
"G1100115","1850","District Of Columbia","110","Washington City","0115","Washington City",40001
"G1200010","1850","Florida","120","Alachua","0010","Alachua",2524
"G1200065","1850","Florida","120","Benton","0065","Benton",926
"G1200130","1850","Florida","120","Calhoun","0130","Calhoun",1377
"G1200230","1850","Florida","120","Columbia","0230","Columbia",4808
"G1200250","1850","Florida","120","Dade","0250","Dade",159
"G1200310","1850","Florida","120","Duval","0310","Duval",4539
"G1200330","1850","Florida","120","Escambia","0330","Escambia",4351
"G1200370","1850","Florida","120","Franklin","0370","Franklin",1561
"G1200390","1850","Florida","120","Gadsden","0390","Gadsden",8784
"G1200470","1850","Florida","120","Hamilton","0470","Hamilton",2511
"G1200570","1850","Florida","120","Hillsborough","0570","Hillsborough",2377
"G1200590","1850","Florida","120","Holmes","0590","Holmes",1205
"G1200630","1850","Florida","120","Jackson","0630","Jackson",6639
"G1200650","1850","Florida","120","Jefferson","0650","Jefferson",7718
"G1200730","1850","Florida","120","Leon","0730","Leon",11442
"G1200750","1850","Florida","120","Levy","0750","Levy",465
"G1200790","1850","Florida","120","Madison","0790","Madison",5490
"G1200830","1850","Florida","120","Marion","0830","Marion",3338
"G1200870","1850","Florida","120","Monroe","0870","Monroe",2645
"G1200890","1850","Florida","120","Nassau","0890","Nassau",2164
"G1200950","1850","Florida","120","Orange","0950","Orange",466
"G1201070","1850","Florida","120","Putnam","1070","Putnam",687
"G1201090","1850","Florida","120","St Johns","1090","St Johns",2525
"G1201115","1850","Florida","120","St Lucie (old)","1115","St Lucie (old)",139
"G1201130","1850","Florida","120","Santa Rosa","1130","Santa Rosa",2883
"G1201290","1850","Florida","120","Wakulla","1290","Wakulla",1955
"G1201310","1850","Florida","120","Walton","1310","Walton",1817
"G1201330","1850","Florida","120","Washington","1330","Washington",1950
"G1300010","1850","Georgia","130","Appling","0010","Appling",2949
"G1300070","1850","Georgia","130","Baker","0070","Baker",8120
"G1300090","1850","Georgia","130","Baldwin","0090","Baldwin",8148
"G1300210","1850","Georgia","130","Bibb","0210","Bibb",12699
"G1300290","1850","Georgia","130","Bryan","0290","Bryan",3424
"G1300310","1850","Georgia","130","Bulloch","0310","Bulloch",4300
"G1300330","1850","Georgia","130","Burke","0330","Burke",16100
"G1300350","1850","Georgia","130","Butts","0350","Butts",6488
"G1300390","1850","Georgia","130","Camden","0390","Camden",6319
"G1300395","1850","Georgia","130","Campbell","0395","Campbell",7232
"G1300450","1850","Georgia","130","Carroll","0450","Carroll",9357
"G1300455","1850","Georgia","130","Cass","0455","Cass",13300
"G1300458","1850","Georgia","130","Cass-Cordon [multi-county reporting area]","0458","Cass-Cordon (multi-county reporting area)",
"G1300510","1850","Georgia","130","Chatham","0510","Chatham",23901
"G1300550","1850","Georgia","130","Chattooga","0550","Chattooga",6815
"G1300570","1850","Georgia","130","Cherokee","0570","Cherokee",12800
"G1300590","1850","Georgia","130","Clarke","0590","Clarke",11119
"G1300650","1850","Georgia","130","Clinch","0650","Clinch",637
"G1300670","1850","Georgia","130","Cobb","0670","Cobb",13843
"G1300730","1850","Georgia","130","Columbia","0730","Columbia",11961
"G1300770","1850","Georgia","130","Coweta","0770","Coweta",13635
"G1300790","1850","Georgia","130","Crawford","0790","Crawford",8984
"G1300830","1850","Georgia","130","Dade","0830","Dade",2680
"G1300870","1850","Georgia","130","Decatur","0870","Decatur",8262
"G1300890","1850","Georgia","130","DeKalb","0890","De Kalb",14328
"G1300930","1850","Georgia","130","Dooly","0930","Dooly",8361
"G1300990","1850","Georgia","130","Early","0990","Early",7246
"G1301030","1850","Georgia","130","Effingham","1030","Effingham",3864
"G1301050","1850","Georgia","130","Elbert","1050","Elbert",12959
"G1301070","1850","Georgia","130","Emanuel","1070","Emanuel",4577
"G1301130","1850","Georgia","130","Fayette","1130","Fayette",8709
"G1301150","1850","Georgia","130","Floyd","1150","Floyd",8205
"G1301170","1850","Georgia","130","Forsyth","1170","Forsyth",8850
"G1301190","1850","Georgia","130","Franklin","1190","Franklin",11513
"G1301230","1850","Georgia","130","Gilmer","1230","Gilmer",8440
"G1301270","1850","Georgia","130","Glynn","1270","Glynn",4933
"G1301290","1850","Georgia","130","Gordon","1290","Gordon",5984
"G1301330","1850","Georgia","130","Greene","1330","Greene",13068
"G1301350","1850","Georgia","130","Gwinnett","1350","Gwinnett",11257
"G1301370","1850","Georgia","130","Habersham","1370","Habersham",8895
"G1301390","1850","Georgia","130","Hall","1390","Hall",8713
"G1301410","1850","Georgia","130","Hancock","1410","Hancock",11578
"G1301450","1850","Georgia","130","Harris","1450","Harris",14721
"G1301490","1850","Georgia","130","Heard","1490","Heard",6923
"G1301510","1850","Georgia","130","Henry","1510","Henry",14726
"G1301530","1850","Georgia","130","Houston","1530","Houston",16450
"G1301550","1850","Georgia","130","Irwin","1550","Irwin",3334
"G1301570","1850","Georgia","130","Jackson","1570","Jackson",9768
"G1301590","1850","Georgia","130","Jasper","1590","Jasper",11486
"G1301630","1850","Georgia","130","Jefferson","1630","Jefferson",9131
"G1301690","1850","Georgia","130","Jones","1690","Jones",10224
"G1301750","1850","Georgia","130","Laurens","1750","Laurens",6442
"G1301770","1850","Georgia","130","Lee","1770","Lee",6660
"G1301790","1850","Georgia","130","Liberty","1790","Liberty",7926
"G1301810","1850","Georgia","130","Lincoln","1810","Lincoln",5998
"G1301850","1850","Georgia","130","Lowndes","1850","Lowndes",7714
"G1301870","1850","Georgia","130","Lumpkin","1870","Lumpkin",8955
"G1301910","1850","Georgia","130","McIntosh","1910","Mcintosh",6027
"G1301930","1850","Georgia","130","Macon","1930","Macon",7052
"G1301950","1850","Georgia","130","Madison","1950","Madison",5703
"G1301970","1850","Georgia","130","Marion","1970","Marion",10280
"G1301990","1850","Georgia","130","Meriwether","1990","Meriwether",16476
"G1302070","1850","Georgia","130","Monroe","2070","Monroe",16985
"G1302090","1850","Georgia","130","Montgomery","2090","Montgomery",2154
"G1302110","1850","Georgia","130","Morgan","2110","Morgan",10744
"G1302130","1850","Georgia","130","Murray","2130","Murray",14433
"G1302150","1850","Georgia","130","Muscogee","2150","Muscogee",18578
"G1302170","1850","Georgia","130","Newton","2170","Newton",13296
"G1302210","1850","Georgia","130","Oglethorpe","2210","Oglethorpe",12259
"G1302230","1850","Georgia","130","Paulding","2230","Paulding",7039
"G1302310","1850","Georgia","130","Pike","2310","Pike",14306
"G1302350","1850","Georgia","130","Pulaski","2350","Pulaski",6627
"G1302370","1850","Georgia","130","Putnam","2370","Putnam",10794
"G1302410","1850","Georgia","130","Rabun","2410","Rabun",2448
"G1302430","1850","Georgia","130","Randolph","2430","Randolph",12868
"G1302450","1850","Georgia","130","Richmond","2450","Richmond",16246
"G1302510","1850","Georgia","130","Screven","2510","Screven",6847
"G1302590","1850","Georgia","130","Stewart","2590","Stewart",16027
"G1302610","1850","Georgia","130","Sumter","2610","Sumter",10322
"G1302630","1850","Georgia","130","Talbot","2630","Talbot",16534
"G1302650","1850","Georgia","130","Taliaferro","2650","Taliaferro",5146
"G1302670","1850","Georgia","130","Tattnall","2670","Tattnall",3227
"G1302710","1850","Georgia","130","Telfair","2710","Telfair",3026
"G1302750","1850","Georgia","130","Thomas","2750","Thomas",10103
"G1302850","1850","Georgia","130","Troup","2850","Troup",16879
"G1302890","1850","Georgia","130","Twiggs","2890","Twiggs",8179
"G1302910","1850","Georgia","130","Union","2910","Union",7234
"G1302930","1850","Georgia","130","Upson","2930","Upson",9424
"G1302950","1850","Georgia","130","Walker","2950","Walker",13109
"G1302970","1850","Georgia","130","Walton","2970","Walton",10821
"G1302990","1850","Georgia","130","Ware","2990","Ware",3888
"G1303010","1850","Georgia","130","Warren","3010","Warren",12425
"G1303030","1850","Georgia","130","Washington","3030","Washington",11766
"G1303050","1850","Georgia","130","Wayne","3050","Wayne",1499
"G1303170","1850","Georgia","130","Wilkes","3170","Wilkes",12107
"G1303190","1850","Georgia","130","Wilkinson","3190","Wilkinson",8296
"G1700010","1850","Illinois","170","Adams","0010","Adams",26508
"G1700030","1850","Illinois","170","Alexander","0030","Alexander",2484
"G1700050","1850","Illinois","170","Bond","0050","Bond",6144
"G1700070","1850","Illinois","170","Boone","0070","Boone",7624
"G1700090","1850","Illinois","170","Brown","0090","Brown",7198
"G1700110","1850","Illinois","170","Bureau","0110","Bureau",8841
"G1700130","1850","Illinois","170","Calhoun","0130","Calhoun",3231
"G1700150","1850","Illinois","170","Carroll","0150","Carroll",4586
"G1700170","1850","Illinois","170","Cass","0170","Cass",7253
"G1700190","1850","Illinois","170","Champaign","0190","Champaign",2649
"G1700210","1850","Illinois","170","Christian","0210","Christian",3203
"G1700230","1850","Illinois","170","Clark","0230","Clark",9532
"G1700250","1850","Illinois","170","Clay","0250","Clay",4289
"G1700270","1850","Illinois","170","Clinton","0270","Clinton",5139
"G1700290","1850","Illinois","170","Coles","0290","Coles",9335
"G1700310","1850","Illinois","170","Cook","0310","Cook",43385
"G1700330","1850","Illinois","170","Crawford","0330","Crawford",7135
"G1700350","1850","Illinois","170","Cumberland","0350","Cumberland",3718
"G1700370","1850","Illinois","170","DeKalb","0370","De Kalb",7540
"G1700390","1850","Illinois","170","De Witt","0390","De Witt",5002
"G1700430","1850","Illinois","170","Du Page","0430","Du Page",9290
"G1700450","1850","Illinois","170","Edgar","0450","Edgar",10692
"G1700470","1850","Illinois","170","Edwards","0470","Edwards",3524
"G1700490","1850","Illinois","170","Effingham","0490","Effingham",3799
"G1700510","1850","Illinois","170","Fayette","0510","Fayette",8075
"G1700550","1850","Illinois","170","Franklin","0550","Franklin",5681
"G1700570","1850","Illinois","170","Fulton","0570","Fulton",22508
"G1700590","1850","Illinois","170","Gallatin","0590","Gallatin",5448
"G1700610","1850","Illinois","170","Greene","0610","Greene",12429
"G1700630","1850","Illinois","170","Grundy","0630","Grundy",3023
"G1700650","1850","Illinois","170","Hamilton","0650","Hamilton",6362
"G1700670","1850","Illinois","170","Hancock","0670","Hancock",14652
"G1700690","1850","Illinois","170","Hardin","0690","Hardin",2887
"G1700710","1850","Illinois","170","Henderson","0710","Henderson",4612
"G1700730","1850","Illinois","170","Henry","0730","Henry",3807
"G1700750","1850","Illinois","170","Iroquois","0750","Iroquois",4149
"G1700770","1850","Illinois","170","Jackson","0770","Jackson",5862
"G1700790","1850","Illinois","170","Jasper","0790","Jasper",3220
"G1700810","1850","Illinois","170","Jefferson","0810","Jefferson",8109
"G1700830","1850","Illinois","170","Jersey","0830","Jersey",7354
"G1700850","1850","Illinois","170","Jo Daviess","0850","Jo Daviess",18604
"G1700870","1850","Illinois","170","Johnson","0870","Johnson",4114
"G1700890","1850","Illinois","170","Kane","0890","Kane",16703
"G1700930","1850","Illinois","170","Kendall","0930","Kendall",7730
"G1700950","1850","Illinois","170","Knox","0950","Knox",13279
"G1700970","1850","Illinois","170","Lake","0970","Lake",14226
"G1700990","1850","Illinois","170","La Salle","0990","La Salle",17815
"G1701010","1850","Illinois","170","Lawrence","1010","Lawrence",6121
"G1701030","1850","Illinois","170","Lee","1030","Lee",5292
"G1701050","1850","Illinois","170","Livingston","1050","Livingston",1552
"G1701070","1850","Illinois","170","Logan","1070","Logan",5128
"G1701090","1850","Illinois","170","McDonough","1090","Mcdonough",7616
"G1701110","1850","Illinois","170","McHenry","1110","Mchenry",14978
"G1701130","1850","Illinois","170","McLean","1130","Mclean",10163
"G1701150","1850","Illinois","170","Macon","1150","Macon",3988
"G1701170","1850","Illinois","170","Macoupin","1170","Macoupin",12355
"G1701190","1850","Illinois","170","Madison","1190","Madison",20441
"G1701210","1850","Illinois","170","Marion","1210","Marion",6720
"G1701230","1850","Illinois","170","Marshall","1230","Marshall",5180
"G1701250","1850","Illinois","170","Mason","1250","Mason",5921
"G1701270","1850","Illinois","170","Massac","1270","Massac",4092
"G1701290","1850","Illinois","170","Menard","1290","Menard",6349
"G1701310","1850","Illinois","170","Mercer","1310","Mercer",5246
"G1701330","1850","Illinois","170","Monroe","1330","Monroe",7679
"G1701350","1850","Illinois","170","Montgomery","1350","Montgomery",6277
"G1701370","1850","Illinois","170","Morgan","1370","Morgan",16064
"G1701390","1850","Illinois","170","Moultrie","1390","Moultrie",3234
"G1701410","1850","Illinois","170","Ogle","1410","Ogle",10020
"G1701430","1850","Illinois","170","Peoria","1430","Peoria",17547
"G1701450","1850","Illinois","170","Perry","1450","Perry",5278
"G1701470","1850","Illinois","170","Piatt","1470","Piatt",1606
"G1701490","1850","Illinois","170","Pike","1490","Pike",18819
"G1701510","1850","Illinois","170","Pope","1510","Pope",3975
"G1701530","1850","Illinois","170","Pulaski","1530","Pulaski",2265
"G1701550","1850","Illinois","170","Putnam","1550","Putnam",3924
"G1701570","1850","Illinois","170","Randolph","1570","Randolph",11079
"G1701590","1850","Illinois","170","Richland","1590","Richland",4012
"G1701610","1850","Illinois","170","Rock Island","1610","Rock Island",6937
"G1701630","1850","Illinois","170","St Clair","1630","St Clair",20180
"G1701650","1850","Illinois","170","Saline","1650","Saline",5588
"G1701670","1850","Illinois","170","Sangamon","1670","Sangamon",19228
"G1701690","1850","Illinois","170","Schuyler","1690","Schuyler",10573
"G1701710","1850","Illinois","170","Scott","1710","Scott",7914
"G1701730","1850","Illinois","170","Shelby","1730","Shelby",7807
"G1701750","1850","Illinois","170","Stark","1750","Stark",3710
"G1701770","1850","Illinois","170","Stephenson","1770","Stephenson",11666
"G1701790","1850","Illinois","170","Tazewell","1790","Tazewell",12052
"G1701810","1850","Illinois","170","Union","1810","Union",7615
"G1701830","1850","Illinois","170","Vermilion","1830","Vermilion",11492
"G1701850","1850","Illinois","170","Wabash","1850","Wabash",4690
"G1701870","1850","Illinois","170","Warren","1870","Warren",8176
"G1701890","1850","Illinois","170","Washington","1890","Washington",6953
"G1701910","1850","Illinois","170","Wayne","1910","Wayne",6825
"G1701930","1850","Illinois","170","White","1930","White",8925
"G1701950","1850","Illinois","170","Whiteside","1950","Whiteside",5361
"G1701970","1850","Illinois","170","Will","1970","Will",16703
"G1701990","1850","Illinois","170","Williamson","1990","Williamson",7216
"G1702010","1850","Illinois","170","Winnebago","2010","Winnebago",11773
"G1702030","1850","Illinois","170","Woodford","2030","Woodford",4415
"G1800010","1850","Indiana","180","Adams","0010","Adams",5797
"G1800030","1850","Indiana","180","Allen","0030","Allen",16919
"G1800050","1850","Indiana","180","Bartholomew","0050","Bartholomew",12428
"G1800070","1850","Indiana","180","Benton","0070","Benton",1144
"G1800090","1850","Indiana","180","Blackford","0090","Blackford",2860
"G1800110","1850","Indiana","180","Boone","0110","Boone",11631
"G1800130","1850","Indiana","180","Brown","0130","Brown",4846
"G1800150","1850","Indiana","180","Carroll","0150","Carroll",11015
"G1800170","1850","Indiana","180","Cass","0170","Cass",11021
"G1800190","1850","Indiana","180","Clark","0190","Clark",15828
"G1800210","1850","Indiana","180","Clay","0210","Clay",7944
"G1800230","1850","Indiana","180","Clinton","0230","Clinton",11869
"G1800250","1850","Indiana","180","Crawford","0250","Crawford",6524
"G1800270","1850","Indiana","180","Daviess","0270","Daviess",10352
"G1800290","1850","Indiana","180","Dearborn","0290","Dearborn",20166
"G1800310","1850","Indiana","180","Decatur","0310","Decatur",15107
"G1800330","1850","Indiana","180","DeKalb","0330","De Kalb",8251
"G1800350","1850","Indiana","180","Delaware","0350","Delaware",10843
"G1800370","1850","Indiana","180","Dubois","0370","Dubois",6321
"G1800390","1850","Indiana","180","Elkhart","0390","Elkhart",12690
"G1800410","1850","Indiana","180","Fayette","0410","Fayette",10217
"G1800430","1850","Indiana","180","Floyd","0430","Floyd",14875
"G1800450","1850","Indiana","180","Fountain","0450","Fountain",13253
"G1800470","1850","Indiana","180","Franklin","0470","Franklin",17968
"G1800490","1850","Indiana","180","Fulton","0490","Fulton",5982
"G1800510","1850","Indiana","180","Gibson","0510","Gibson",10771
"G1800530","1850","Indiana","180","Grant","0530","Grant",11092
"G1800550","1850","Indiana","180","Greene","0550","Greene",12313
"G1800570","1850","Indiana","180","Hamilton","0570","Hamilton",12684
"G1800590","1850","Indiana","180","Hancock","0590","Hancock",9698
"G1800610","1850","Indiana","180","Harrison","0610","Harrison",15286
"G1800630","1850","Indiana","180","Hendricks","0630","Hendricks",14083
"G1800650","1850","Indiana","180","Henry","0650","Henry",17605
"G1800670","1850","Indiana","180","Howard","0670","Howard",6657
"G1800690","1850","Indiana","180","Huntington","0690","Huntington",7850
"G1800710","1850","Indiana","180","Jackson","0710","Jackson",11047
"G1800730","1850","Indiana","180","Jasper","0730","Jasper",3540
"G1800750","1850","Indiana","180","Jay","0750","Jay",7047
"G1800770","1850","Indiana","180","Jefferson","0770","Jefferson",23916
"G1800790","1850","Indiana","180","Jennings","0790","Jennings",12096
"G1800810","1850","Indiana","180","Johnson","0810","Johnson",12101
"G1800830","1850","Indiana","180","Knox","0830","Knox",11084
"G1800850","1850","Indiana","180","Kosciusko","0850","Kosciusko",10243
"G1800870","1850","Indiana","180","Lagrange","0870","Lagrange",8387
"G1800890","1850","Indiana","180","Lake","0890","Lake",3991
"G1800910","1850","Indiana","180","LaPorte","0910","Laporte",12145
"G1800930","1850","Indiana","180","Lawrence","0930","Lawrence",12097
"G1800950","1850","Indiana","180","Madison","0950","Madison",12375
"G1800970","1850","Indiana","180","Marion","0970","Marion",24103
"G1800990","1850","Indiana","180","Marshall","0990","Marshall",5348
"G1801010","1850","Indiana","180","Martin","1010","Martin",5941
"G1801030","1850","Indiana","180","Miami","1030","Miami",11304
"G1801050","1850","Indiana","180","Monroe","1050","Monroe",11286
"G1801070","1850","Indiana","180","Montgomery","1070","Montgomery",18084
"G1801090","1850","Indiana","180","Morgan","1090","Morgan",14576
"G1801130","1850","Indiana","180","Noble","1130","Noble",7946
"G1801150","1850","Indiana","180","Ohio","1150","Ohio",5308
"G1801170","1850","Indiana","180","Orange","1170","Orange",10809
"G1801190","1850","Indiana","180","Owen","1190","Owen",12106
"G1801210","1850","Indiana","180","Parke","1210","Parke",14968
"G1801230","1850","Indiana","180","Perry","1230","Perry",7268
"G1801250","1850","Indiana","180","Pike","1250","Pike",7720
"G1801270","1850","Indiana","180","Porter","1270","Porter",5234
"G1801290","1850","Indiana","180","Posey","1290","Posey",12549
"G1801310","1850","Indiana","180","Pulaski","1310","Pulaski",2595
"G1801330","1850","Indiana","180","Putnam","1330","Putnam",18615
"G1801350","1850","Indiana","180","Randolph","1350","Randolph",14725
